,0,1,2,Latitude,Longitude
0,810002918,2,2019-06-13 12:16:42.516090,52.486,13.295056
1,816028757,2,2019-06-13 12:16:42.516090,52.4859,13.297119
2,810024465,2,2019-06-13 12:16:42.516090,52.486897,13.307676
3,816037469,2,2019-06-13 12:16:42.516090,52.503652,13.307494
4,816045505,2,2019-06-13 12:16:42.516090,52.504762,13.308309
5,816022072,2,2019-06-13 12:16:42.516090,52.503891,13.306635
6,816037485,2,2019-06-13 12:16:42.516090,52.502197,13.307695
7,810002927,2,2019-06-13 12:16:42.516090,52.501911,13.309823
8,816036082,2,2019-06-13 12:16:42.516090,52.504615,13.311752
9,810002434,2,2019-06-13 12:16:42.516090,52.502667,13.31198
10,816024310,2,2019-06-13 12:16:42.516090,52.504908,13.306552
11,810006445,2,2019-06-13 12:16:42.516090,52.501701,13.307871
12,810026736,2,2019-06-13 12:16:42.516090,52.502051,13.311618
13,810006989,2,2019-06-13 12:16:42.516090,52.502189,13.311887
14,816028623,2,2019-06-13 12:16:42.516090,52.501936,13.306425
15,810002106,2,2019-06-13 12:16:42.516090,52.50609,13.309059
16,810006087,2,2019-06-13 12:16:42.516090,52.501266,13.3074
17,810023898,2,2019-06-13 12:16:42.516090,52.502026,13.312831
18,810003600,2,2019-06-13 12:16:42.516090,52.50234,13.313271
19,816045479,2,2019-06-13 12:16:42.516090,52.466935,13.32365
20,816037730,2,2019-06-13 12:16:42.516090,52.466769,13.324522
21,810002888,2,2019-06-13 12:16:42.516090,52.466791,13.327849
22,816023586,2,2019-06-13 12:16:42.516090,52.468224,13.328458
23,810002791,2,2019-06-13 12:16:42.516090,52.465923,13.327674
24,810023501,2,2019-06-13 12:16:42.516090,52.466066,13.328366
25,816020123,2,2019-06-13 12:16:42.516090,52.465644,13.327728
26,810002549,2,2019-06-13 12:16:42.516090,52.465735,13.328091
27,810003403,2,2019-06-13 12:16:42.516090,52.464952,13.326069
28,816023824,2,2019-06-13 12:16:42.516090,52.46529,13.321404
29,816022934,2,2019-06-13 12:16:42.516090,52.46592,13.328519
30,810006419,2,2019-06-13 12:16:42.516090,52.465759,13.328627
31,816037851,2,2019-06-13 12:16:42.516090,52.467025,13.33029
32,816047078,2,2019-06-13 12:16:42.516090,52.467228,13.330385
33,816047204,2,2019-06-13 12:16:42.516090,52.471151,13.327887
34,816046542,2,2019-06-13 12:16:42.516090,52.470866,13.320209
35,816023120,2,2019-06-13 12:16:42.516090,52.464854,13.320787
36,816045821,2,2019-06-13 12:16:42.516090,52.477496,13.324932
37,810000842,2,2019-06-13 12:16:42.516090,52.478003,13.323917
38,810026760,2,2019-06-13 12:16:42.516090,52.477412,13.321872
39,816048423,2,2019-06-13 12:16:42.516090,52.478794,13.322545
40,810000927,2,2019-06-13 12:16:42.516090,52.478039,13.328546
41,810026953,2,2019-06-13 12:16:42.516090,52.478973,13.32097
42,816022869,2,2019-06-13 12:16:42.516090,52.476985,13.319474
43,816023000,2,2019-06-13 12:16:42.516090,52.47845,13.320177
44,816047194,2,2019-06-13 12:16:42.516090,52.47531,13.328693
45,816046285,2,2019-06-13 12:16:42.516090,52.478919,13.320461
46,810006433,2,2019-06-13 12:16:42.516090,52.478446,13.328994
47,810002137,2,2019-06-13 12:16:42.516090,52.478327,13.329198
48,810006869,2,2019-06-13 12:16:42.516090,52.478168,13.329343
49,810026555,2,2019-06-13 12:16:42.516090,52.521441,13.323402
50,810003467,2,2019-06-13 12:16:42.516090,52.521712,13.325248
51,816037422,2,2019-06-13 12:16:42.516090,52.522371,13.323466
