,0,1,2,Longitude, Latitude
0,177559,1,2019-06-13 12:22:01.762888,13.4053293,52.5199911
1,187049,1,2019-06-13 12:22:01.762888,13.4053293,52.5199911
2,178269,1,2019-06-13 12:22:01.762888,13.4053335,52.520073
3,175529,1,2019-06-13 12:22:01.762888,13.405492,52.519882
4,175970,1,2019-06-13 12:22:01.762888,13.405535,52.51991
5,177336,1,2019-06-13 12:22:01.762888,13.405517,52.51987
6,177739,1,2019-06-13 12:22:01.762888,13.405573,52.519913
7,178034,1,2019-06-13 12:22:01.762888,13.405123,52.52044
8,176751,1,2019-06-13 12:22:01.762888,13.403605,52.519646
9,176125,1,2019-06-13 12:22:01.762888,13.406371,52.520344
10,177384,1,2019-06-13 12:22:01.762888,13.4034,52.5206
11,176978,1,2019-06-13 12:22:01.762888,13.403424,52.521187
12,183729,1,2019-06-13 12:22:01.762888,13.403656,52.521347
13,183762,1,2019-06-13 12:22:01.762888,13.403298,52.52126
14,176299,1,2019-06-13 12:22:01.762888,13.403184,52.521626
15,176769,1,2019-06-13 12:22:01.762888,13.404322,52.52194
16,174897,1,2019-06-13 12:22:01.762888,13.407742,52.521088
17,177097,1,2019-06-13 12:22:01.762888,13.4078,52.52106
18,176201,1,2019-06-13 12:22:01.762888,13.408113,52.520676
19,184143,1,2019-06-13 12:22:01.762888,13.407301,52.52154
20,175789,1,2019-06-13 12:22:01.762888,13.40725,52.521637
21,175866,1,2019-06-13 12:22:01.762888,13.403657,52.522026
22,176935,1,2019-06-13 12:22:01.762888,13.405444,52.522255
23,186807,1,2019-06-13 12:22:01.762888,13.405267,52.522278
24,176548,1,2019-06-13 12:22:01.762888,13.405265,52.52233
25,176578,1,2019-06-13 12:22:01.762888,13.40361,52.52232
26,176141,1,2019-06-13 12:22:01.762888,13.405265,52.52248
27,176798,1,2019-06-13 12:22:01.762888,13.404556,52.51741
28,176996,1,2019-06-13 12:22:01.762888,13.404879,52.522617
29,177721,1,2019-06-13 12:22:01.762888,13.401129,52.518566
30,174908,1,2019-06-13 12:22:01.762888,13.404537,52.517212
31,177339,1,2019-06-13 12:22:01.762888,13.40057,52.52105
32,183832,1,2019-06-13 12:22:01.762888,13.40356,52.522835
33,176999,1,2019-06-13 12:22:01.762888,13.400486,52.521286
34,176041,1,2019-06-13 12:22:01.762888,13.40059,52.518456
35,175546,1,2019-06-13 12:22:01.762888,13.408582,52.522182
36,175531,1,2019-06-13 12:22:01.762888,13.400527,52.51839
37,176782,1,2019-06-13 12:22:01.762888,13.400484,52.518425
38,176617,1,2019-06-13 12:22:01.762888,13.400552,52.51835
39,177303,1,2019-06-13 12:22:01.762888,13.400484,52.5184
40,176182,1,2019-06-13 12:22:01.762888,13.400517,52.518364
41,175996,1,2019-06-13 12:22:01.762888,13.400477,52.5184
42,174635,1,2019-06-13 12:22:01.762888,13.408108,52.522526
43,177610,1,2019-06-13 12:22:01.762888,13.40048,52.518387
44,178305,1,2019-06-13 12:22:01.762888,13.400457,52.518406
45,177290,1,2019-06-13 12:22:01.762888,13.400456,52.51839
46,177184,1,2019-06-13 12:22:01.762888,13.406949,52.52297
47,176955,1,2019-06-13 12:22:01.762888,13.4030038,52.5230332
48,183943,1,2019-06-13 12:22:01.762888,13.402832,52.52308
49,177966,1,2019-06-13 12:22:01.762888,13.403222,52.523212
50,174588,1,2019-06-13 12:22:01.762888,13.409945,52.521652
51,176115,1,2019-06-13 12:22:01.762888,13.410631,52.51999
52,176509,1,2019-06-13 12:22:01.762888,13.4102833,52.5213
53,175564,1,2019-06-13 12:22:01.762888,13.410148,52.521606
54,177591,1,2019-06-13 12:22:01.762888,13.410335,52.521454
55,183956,1,2019-06-13 12:22:01.762888,13.40912,52.517475
56,178228,1,2019-06-13 12:22:01.762888,13.409175,52.5175
57,176262,1,2019-06-13 12:22:01.762888,13.409168,52.51749
58,183806,1,2019-06-13 12:22:01.762888,13.409109,52.517452
59,176859,1,2019-06-13 12:22:01.762888,13.409092,52.51744
60,175704,1,2019-06-13 12:22:01.762888,13.40913,52.51746
61,178096,1,2019-06-13 12:22:01.762888,13.409146,52.517456
62,184165,1,2019-06-13 12:22:01.762888,13.409163,52.51746
63,176177,1,2019-06-13 12:22:01.762888,13.409175,52.517456
64,184068,1,2019-06-13 12:22:01.762888,13.409168,52.51744
65,177392,1,2019-06-13 12:22:01.762888,13.402523,52.523373
66,174909,1,2019-06-13 12:22:01.762888,13.410723,52.521286
67,176970,1,2019-06-13 12:22:01.762888,13.410736,52.521286
